Timestamp,Symbol,Timeframe,Candles,Trades,Win Rate (%),Profit Factor,Return (%),Max Drawdown (%),Final Balance
2026-04-09 03:18:26,BTC/USDT,15m,10000,52,22.22,0.39,3.20,4.76,1032.04
2026-04-09 03:18:37,BTC/USDT,1m,500,0,100.00,inf,0.00,0.00,1000.00
2026-04-09 03:19:33,BTC/USDT,15m,10000,52,22.22,0.39,3.20,4.76,1032.04
2026-04-09 03:19:57,BTC/USDT,5m,10000,35,33.33,0.95,2.35,2.29,1023.47
2026-04-09 03:28:00,BTC/USDT,1m,500,0,100.00,inf,0.00,0.00,333.33
2026-04-09 03:28:04,ETH/USDT,1m,500,0,100.00,inf,0.00,0.00,333.33
2026-04-09 03:28:08,SOL/USDT,1m,500,0,100.00,inf,0.00,0.00,333.33
2026-04-09 03:30:07,BTC/USDT,5m,10000,39,25.00,0.71,0.10,0.12,333.65
2026-04-09 03:30:22,ETH/USDT,5m,10000,58,23.81,0.43,-0.34,0.42,332.19
2026-04-09 03:30:36,SOL/USDT,5m,10000,42,25.00,0.59,0.26,0.26,334.19
2026-04-09 03:31:35,BTC/USDT,5m,10000,39,25.00,0.71,0.10,0.12,333.65
2026-04-09 03:31:51,ETH/USDT,5m,10000,58,23.81,0.43,-0.34,0.42,332.19
2026-04-09 03:32:07,SOL/USDT,5m,10000,42,25.00,0.59,0.26,0.26,334.19
2026-04-09 03:33:58,BTC/USDT,1m,500,0,100.00,inf,0.00,0.00,1000.00
2026-04-09 03:34:47,BTC/USDT,1m,10000,11,42.86,3.67,0.03,0.04,1000.31
2026-04-09 03:36:27,BTC/USDT,5m,10000,35,33.33,0.95,2.35,2.29,1023.47
